id_country,timezone
BGR,UTC+02:00
PRK,UTC+09:00
AND,UTC+01:00
AGO,UTC+01:00
BLM,UTC-04:00
RUS,UTC+03:00
RUS,UTC+04:00
RUS,UTC+06:00
RUS,UTC+07:00
RUS,UTC+08:00
RUS,UTC+09:00
RUS,UTC+10:00
RUS,UTC+11:00
RUS,UTC+12:00
BFA,UTC
VAT,UTC+01:00
IMN,UTC+00:00
AFG,UTC+04:30
HRV,UTC+01:00
BTN,UTC+06:00
BLR,UTC+03:00
CCK,UTC+06:30
NZL,UTC-11:00
NZL,UTC-10:00
NZL,UTC+12:00
NZL,UTC+12:45
NZL,UTC+13:00
MDG,UTC+03:00
THA,UTC+07:00
GEO,UTC+04:00
IND,UTC+05:30
CHN,UTC+08:00
SPM,UTC-03:00
PRI,UTC-04:00
DJI,UTC+03:00
SAU,UTC+03:00
IRN,UTC+03:30
ZMB,UTC+02:00
ETH,UTC+03:00
MAC,UTC+08:00
GTM,UTC-06:00
MTQ,UTC-04:00
SUR,UTC-03:00
URY,UTC-03:00
ITA,UTC+01:00
NCL,UTC+11:00
FJI,UTC+12:00
ABW,UTC-04:00
STP,UTC
CHE,UTC+01:00
COD,UTC+01:00
COD,UTC+02:00
FIN,UTC+02:00
MLT,UTC+01:00
SLV,UTC-06:00
JOR,UTC+03:00
TKL,UTC+13:00
NRU,UTC+12:00
POL,UTC+01:00
MRT,UTC
WLF,UTC+12:00
ATA,UTC-03:00
ATA,UTC+03:00
ATA,UTC+05:00
ATA,UTC+06:00
ATA,UTC+07:00
ATA,UTC+08:00
ATA,UTC+10:00
ATA,UTC+12:00
GUM,UTC+10:00
MKD,UTC+01:00
TGO,UTC
MMR,UTC+06:30
QAT,UTC+03:00
FRA,UTC-10:00
FRA,UTC-09:30
FRA,UTC-09:00
FRA,UTC-08:00
FRA,UTC-04:00
FRA,UTC-03:00
FRA,UTC+01:00
FRA,UTC+02:00
FRA,UTC+03:00
FRA,UTC+04:00
FRA,UTC+05:00
FRA,UTC+10:00
FRA,UTC+11:00
FRA,UTC+12:00
MYT,UTC+03:00
NFK,UTC+11:30
SYC,UTC+04:00
MDA,UTC+02:00
SSD,UTC+03:00
BRN,UTC+08:00
JPN,UTC+09:00
GRD,UTC-04:00
ESP,UTC
ESP,UTC+01:00
BES,UTC-04:00
PNG,UTC+10:00
UZB,UTC+05:00
ARG,UTC-03:00
KOR,UTC+09:00
BLZ,UTC-06:00
REU,UTC+04:00
MEX,UTC-08:00
MEX,UTC-07:00
MEX,UTC-06:00
VIR,UTC-04:00
SRB,UTC+01:00
UMI,UTC-11:00
UMI,UTC-10:00
UMI,UTC+12:00
CPV,UTC-01:00
KHM,UTC+07:00
ROU,UTC+02:00
HUN,UTC+01:00
MHL,UTC+12:00
SOM,UTC+03:00
ALB,UTC+01:00
PYF,UTC-10:00
PYF,UTC-09:30
PYF,UTC-09:00
BDI,UTC+02:00
CAF,UTC+01:00
GUF,UTC-03:00
ASM,UTC-11:00
LCA,UTC-04:00
UGA,UTC+03:00
HND,UTC-06:00
KAZ,UTC+05:00
KAZ,UTC+06:00
KEN,UTC+03:00
WSM,UTC+13:00
NPL,UTC+05:45
GNQ,UTC+01:00
LBN,UTC+02:00
MUS,UTC+04:00
LIE,UTC+01:00
CYM,UTC-05:00
AIA,UTC-04:00
GLP,UTC-04:00
AUT,UTC+01:00
NLD,UTC+01:00
SJM,UTC+01:00
SGP,UTC+08:00
LBR,UTC
